Entity,Year,CO2 emissions - Region: global,CO2 emissions - Region: global (Annotations)
SSP1 - 4.5,2005,33166074220,Sustainability - Taking the Green Road
SSP1 - 4.5,2010,35488818040,Sustainability - Taking the Green Road
SSP1 - 4.5,2020,39860114910,Sustainability - Taking the Green Road
SSP1 - 4.5,2030,40958095380,Sustainability - Taking the Green Road
SSP1 - 4.5,2040,41498599290,Sustainability - Taking the Green Road
SSP1 - 4.5,2050,40020968430,Sustainability - Taking the Green Road
SSP1 - 4.5,2060,37734730150,Sustainability - Taking the Green Road
SSP1 - 4.5,2070,32323002280,Sustainability - Taking the Green Road
SSP1 - 4.5,2080,24455647950,Sustainability - Taking the Green Road
SSP1 - 4.5,2090,17307671060,Sustainability - Taking the Green Road
SSP1 - 4.5,2100,11079046390,Sustainability - Taking the Green Road
SSP1 - Baseline,2005,33166074220,Sustainability - Taking the Green Road
SSP1 - Baseline,2010,35488818040,Sustainability - Taking the Green Road
SSP1 - Baseline,2020,40069003910,Sustainability - Taking the Green Road
SSP1 - Baseline,2030,42653234050,Sustainability - Taking the Green Road
SSP1 - Baseline,2040,43778496100,Sustainability - Taking the Green Road
SSP1 - Baseline,2050,42454757820,Sustainability - Taking the Green Road
SSP1 - Baseline,2060,41601928390,Sustainability - Taking the Green Road
SSP1 - Baseline,2070,39217531580,Sustainability - Taking the Green Road
SSP1 - Baseline,2080,33392293950,Sustainability - Taking the Green Road
SSP1 - Baseline,2090,28618413900,Sustainability - Taking the Green Road
SSP1 - Baseline,2100,24612913580,Sustainability - Taking the Green Road
SSP2 - 1.9,2005,37767241830,Middle of the Road
SSP2 - 1.9,2010,40313502030,Middle of the Road
SSP2 - 1.9,2020,40931321740,Middle of the Road
SSP2 - 1.9,2030,23633128530,Middle of the Road
SSP2 - 1.9,2040,11524129400,Middle of the Road
SSP2 - 1.9,2050,3778922018,Middle of the Road
SSP2 - 1.9,2060,-1510684608,Middle of the Road
SSP2 - 1.9,2070,-6540368386,Middle of the Road
SSP2 - 1.9,2080,-10608864180,Middle of the Road
SSP2 - 1.9,2090,-12410880580,Middle of the Road
SSP2 - 1.9,2100,-13048889880,Middle of the Road
SSP2 - 2.6,2005,37770820260,Middle of the Road
SSP2 - 2.6,2010,40294322570,Middle of the Road
SSP2 - 2.6,2020,40656969190,Middle of the Road
SSP2 - 2.6,2030,34541602380,Middle of the Road
SSP2 - 2.6,2040,26305611870,Middle of the Road
SSP2 - 2.6,2050,16330601410,Middle of the Road
SSP2 - 2.6,2060,9247853483,Middle of the Road
SSP2 - 2.6,2070,2010280498,Middle of the Road
SSP2 - 2.6,2080,-4045766822,Middle of the Road
SSP2 - 2.6,2090,-6495753010,Middle of the Road
SSP2 - 2.6,2100,-8357277098,Middle of the Road
SSP2 - 3.4,2005,37770833690,Middle of the Road
SSP2 - 3.4,2010,40294283120,Middle of the Road
SSP2 - 3.4,2020,41685860990,Middle of the Road
SSP2 - 3.4,2030,42031556660,Middle of the Road
SSP2 - 3.4,2040,38219667350,Middle of the Road
SSP2 - 3.4,2050,32611938560,Middle of the Road
SSP2 - 3.4,2060,24302660540,Middle of the Road
SSP2 - 3.4,2070,15423403940,Middle of the Road
SSP2 - 3.4,2080,7974427459,Middle of the Road
SSP2 - 3.4,2090,1860016865,Middle of the Road
SSP2 - 3.4,2100,-1418092488,Middle of the Road
SSP2 - 4.5,2005,37770827990,Middle of the Road
SSP2 - 4.5,2010,40294293820,Middle of the Road
SSP2 - 4.5,2020,42284928730,Middle of the Road
SSP2 - 4.5,2030,44385654470,Middle of the Road
SSP2 - 4.5,2040,44491570780,Middle of the Road
SSP2 - 4.5,2050,42832156140,Middle of the Road
SSP2 - 4.5,2060,39042389740,Middle of the Road
SSP2 - 4.5,2070,34193217950,Middle of the Road
SSP2 - 4.5,2080,25823818090,Middle of the Road
SSP2 - 4.5,2090,15468528590,Middle of the Road
SSP2 - 4.5,2100,9115046702,Middle of the Road
SSP2 - 6.0,2005,37770773340,Middle of the Road
SSP2 - 6.0,2010,40294276410,Middle of the Road
SSP2 - 6.0,2020,42392228060,Middle of the Road
SSP2 - 6.0,2030,46125215530,Middle of the Road
SSP2 - 6.0,2040,49544828530,Middle of the Road
SSP2 - 6.0,2050,52585738920,Middle of the Road
SSP2 - 6.0,2060,54663549370,Middle of the Road
SSP2 - 6.0,2070,55537153420,Middle of the Road
SSP2 - 6.0,2080,55974066830,Middle of the Road
SSP2 - 6.0,2090,56218816630,Middle of the Road
SSP2 - 6.0,2100,55426330740,Middle of the Road
SSP2 - Baseline,2005,37768994360,Middle of the Road
SSP2 - Baseline,2010,40294638280,Middle of the Road
SSP2 - Baseline,2020,42262425250,Middle of the Road
SSP2 - Baseline,2030,46727550650,Middle of the Road
SSP2 - Baseline,2040,51606451500,Middle of the Road
SSP2 - Baseline,2050,56651629190,Middle of the Road
SSP2 - Baseline,2060,61402269010,Middle of the Road
SSP2 - Baseline,2070,65996979000,Middle of the Road
SSP2 - Baseline,2080,74133629280,Middle of the Road
SSP2 - Baseline,2090,81028376880,Middle of the Road
SSP2 - Baseline,2100,85684204390,Middle of the Road
SSP3 - 3.4,2005,34373934500,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2010,39398615600,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2020,46637736200,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2030,48292181400,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2040,32552846300,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2050,22930895200,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2060,16754039300,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2070,9494704600,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2080,3925184500,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2090,-713415000,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2100,-3861942700,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2005,34373934500,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2010,39398615600,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2020,46637736200,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2030,50589140800,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2040,43026225700,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2050,36561864000,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2060,25470368300,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2070,19713865200,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2080,15958927700,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2090,11400028500,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2100,6401836300,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2005,34373934500,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2010,39398615600,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2020,46637736200,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2030,50805267700,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2040,48074469800,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2050,46888112200,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2060,48048435800,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2070,43526677200,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2080,37554195400,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2090,33712190900,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2100,31248202100,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2005,34373934500,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2010,39560752300,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2020,48502706900,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2030,55000886500,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2040,59877305400,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2050,64001363000,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2060,67962295199,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2070,71792665700,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2080,75571458400,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2090,80137183400,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2100,85214965500,Regional Rivalry - A Rocky Road
SSP4 - 2.6,2010,35775762530,Inequality - A Road Divided
SSP4 - 2.6,2020,40048785360,Inequality - A Road Divided
SSP4 - 2.6,2030,23821810490,Inequality - A Road Divided
SSP4 - 2.6,2040,16324223230,Inequality - A Road Divided
SSP4 - 2.6,2050,11881383240,Inequality - A Road Divided
SSP4 - 2.6,2060,6666028153,Inequality - A Road Divided
SSP4 - 2.6,2070,-123121448,Inequality - A Road Divided
SSP4 - 2.6,2080,-10622955960,Inequality - A Road Divided
SSP4 - 2.6,2090,-19091439440,Inequality - A Road Divided
SSP4 - 2.6,2100,-27544504870,Inequality - A Road Divided
SSP4 - 3.4,2010,35775762490,Inequality - A Road Divided
SSP4 - 3.4,2020,40048796730,Inequality - A Road Divided
SSP4 - 3.4,2030,35021114670,Inequality - A Road Divided
SSP4 - 3.4,2040,28099447300,Inequality - A Road Divided
SSP4 - 3.4,2050,19939745670,Inequality - A Road Divided
SSP4 - 3.4,2060,14798745000,Inequality - A Road Divided
SSP4 - 3.4,2070,10246934590,Inequality - A Road Divided
SSP4 - 3.4,2080,2773520564,Inequality - A Road Divided
SSP4 - 3.4,2090,-7132041459,Inequality - A Road Divided
SSP4 - 3.4,2100,-15962104440,Inequality - A Road Divided
SSP4 - 4.5,2010,35775762450,Inequality - A Road Divided
SSP4 - 4.5,2020,40048795810,Inequality - A Road Divided
SSP4 - 4.5,2030,39451086240,Inequality - A Road Divided
SSP4 - 4.5,2040,36566084270,Inequality - A Road Divided
SSP4 - 4.5,2050,29034578190,Inequality - A Road Divided
SSP4 - 4.5,2060,21480445160,Inequality - A Road Divided
SSP4 - 4.5,2070,15715357360,Inequality - A Road Divided
SSP4 - 4.5,2080,10931517500,Inequality - A Road Divided
SSP4 - 4.5,2090,9782592244,Inequality - A Road Divided
SSP4 - 4.5,2100,7694019169,Inequality - A Road Divided
SSP4 - 6.0,2010,35775762450,Inequality - A Road Divided
SSP4 - 6.0,2020,40048795650,Inequality - A Road Divided
SSP4 - 6.0,2030,46120778520,Inequality - A Road Divided
SSP4 - 6.0,2040,48994885630,Inequality - A Road Divided
SSP4 - 6.0,2050,49054691350,Inequality - A Road Divided
SSP4 - 6.0,2060,47612523330,Inequality - A Road Divided
SSP4 - 6.0,2070,44591015670,Inequality - A Road Divided
SSP4 - 6.0,2080,36805763550,Inequality - A Road Divided
SSP4 - 6.0,2090,28564776990,Inequality - A Road Divided
SSP4 - 6.0,2100,20569327740,Inequality - A Road Divided
SSP4 - Baseline,2005,31887169360,Inequality - A Road Divided
SSP4 - Baseline,2010,35775774720,Inequality - A Road Divided
SSP4 - Baseline,2020,41636027050,Inequality - A Road Divided
SSP4 - Baseline,2030,49069570240,Inequality - A Road Divided
SSP4 - Baseline,2040,53846928810,Inequality - A Road Divided
SSP4 - Baseline,2050,55664437400,Inequality - A Road Divided
SSP4 - Baseline,2060,56953976660,Inequality - A Road Divided
SSP4 - Baseline,2070,55898208470,Inequality - A Road Divided
SSP4 - Baseline,2080,51172922990,Inequality - A Road Divided
SSP4 - Baseline,2090,47532718760,Inequality - A Road Divided
SSP4 - Baseline,2100,44784721730,Inequality - A Road Divided
SSP5 - 1.9,2005,35280000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2010,36370000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2020,39700000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2030,37770000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2040,22140000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2050,1254000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2060,-12840000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2070,-16250000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2080,-17930000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2090,-19550000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2100,-21310000000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2005,35229942500,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2010,36335005000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2020,39561252300,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2030,43164648300,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2040,38019976700,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2050,24985273800,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2060,7483276800,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2070,-3988329600,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2080,-11349672500,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2090,-16493755900,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2100,-18976585200,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2005,35229942500,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2010,36335005000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2020,39549850200,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2030,44473965000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2040,43522287500,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2050,37420938200,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2060,28454157200,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2070,15509429100,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2080,2748193000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2090,-8535276800,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2100,-13600102400,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2005,35229942500,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2010,36335005000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2020,39542470000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2030,44934095600,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2040,46002393100,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2050,43224373000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2060,37171389900,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2070,29477403200,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2080,23649949400,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2090,17166311099,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2100,15860667200,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2005,35229942500,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2010,36335005000,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2020,39560359500,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2030,47835990100,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2040,54512741600,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2050,58172971300,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2060,58939778700,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2070,55299005200,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2080,50540137300,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2090,44186311100,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2100,40968865200,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2005,35279640500,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2010,36371124600,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2020,44610389300,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2030,56726452000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2040,69861617000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2050,84436466100,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2060,101301616400,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2070,117499825900,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2080,129499347800,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2090,130397531800,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2100,126097682700,Fossil-fueled Development - Taking the Highway
